LEA ID ,District,Title I Allocations Under the Recovery Act
3417130,WASHINGTON TOWNSHIP,0
3417160,WASHINGTON TOWNSHIP,0
3417190,WATCHUNG BOROUGH,0
3417220,WATCHUNG HILLS REGIONAL,0
3417250,WATERFORD TOWNSHIP,"104,150"
3417280,WAYNE TOWNSHIP,0
3417310,WEEHAWKEN TOWNSHIP,"202,874"
3417340,WENONAH BOROUGH,0
3417370,WEST AMWELL TOWNSHIP,0
3417400,WEST CAPE MAY BOROUGH,0
3417430,WEST DEPTFORD TOWNSHIP,"164,689"
3417460,WEST ESSEX REGIONAL,0
3417490,WEST LONG BRANCH BOROUGH,"53,153"
3417520,WEST MILFORD TOWNSHIP,"287,551"
3417550,WEST MORRIS REGIONAL,0
3417580,WEST NEW YORK TOWN,"2,192,381"
3417610,WEST ORANGE TOWN,"519,335"
3417640,WEST PATERSON BOROUGH,"118,506"
3417670,WEST WILDWOOD,0
3417730,WESTAMPTON,0
3417760,WESTFIELD TOWN,0
3417790,WESTVILLE BOROUGH,"47,054"
3417820,WESTWOOD REGIONAL,0
3417850,WEYMOUTH TOWNSHIP,"33,112"
3417880,WHARTON BOROUGH,"81,909"
3417910,WHITE TOWNSHIP,0
3417940,WILDWOOD CITY,"434,059"
3417970,WILDWOOD CREST BOROUGH,"36,824"
3418000,WILLINGBORO TOWNSHIP,"555,061"
3418030,WINFIELD TOWNSHIP,"13,071"
3418060,WINSLOW TOWNSHIP,"684,460"
3418090,WOODBINE BOROUGH,"55,509"
3418120,WOODBRIDGE TOWNSHIP,"864,072"
3418150,WOODBURY CITY,"331,330"
3418180,WOODBURY HEIGHTS BOROUGH,0
3418210,WOODCLIFF LAKE BOROUGH,0
3418240,WOODLAND TOWNSHIP,0
3418270,WOODLYNNE BOROUGH,"172,986"
3418300,WOOD-RIDGE BOROUGH,0
3418330,WOODSTOWN-PILESGROVE REG,"98,465"
3418360,WYCKOFF TOWNSHIP,0
3499999,PART D SUBPART 2,"888,360"
"*    Actual amounts received by LEAs will be smaller than shown here due to State-level adjustments to Federal Title I allocations.  States adjust
allocations, for example, to reflect LEA boundary changes or the creation of new LEAs, including charter school LEAs, that are not accounted for in the statutory calculations.  States must reserve 4 percent in fiscal year 2009 for school improvement activities.",,
